Dataset,#Training,%Training,%Defect Training,%Defect Testing,Classifier,Balancing,Feature Selection,TP,FP,TN,FN,Precision,Recall,ROC Area,Kappa
BOOKKEEPER,1,0.5127265322744858,0.049642573471008734,0.07062264939406603,RF,No sampling,False,2393.0,55.0,70.0,0.0,0.9775326797385621,1.0,0.9276138737985792,0.7075246562902575
BOOKKEEPER,1,0.5127265322744858,0.049642573471008734,0.07062264939406603,IBk,No sampling,False,4603.0,73.0,177.0,183.0,0.9843883661248931,0.9617634768073547,0.9038437108232344,0.5542068355025657
BOOKKEEPER,1,0.5127265322744858,0.049642573471008734,0.07062264939406603,NB,No sampling,False,6814.0,90.0,285.0,365.0,0.9869640787949016,0.9491572642429308,0.9110156474903655,0.5262709586718771
BOOKKEEPER,1,0.5127265322744858,0.049642573471008734,0.07062264939406603,RF,Under sampling,False,2205.0,20.0,105.0,188.0,0.9910112359550561,0.9214375261178437,0.9228984538236523,0.46517113698515444
BOOKKEEPER,1,0.5127265322744858,0.049642573471008734,0.07062264939406603,IBk,Under sampling,False,4414.0,35.0,215.0,372.0,0.9921330636097999,0.92227329711659,0.9149243627246134,0.4773471860694728
BOOKKEEPER,1,0.5127265322744858,0.049642573471008734,0.07062264939406603,NB,Under sampling,False,6644.0,55.0,320.0,535.0,0.9917898193760263,0.9254770859451177,0.9180975994799647,0.4847661953464495
BOOKKEEPER,1,0.5127265322744858,0.049642573471008734,0.07062264939406603,RF,Over sampling,False,2371.0,52.0,73.0,22.0,0.9785390012381345,0.9908065190137902,0.926052653572921,0.6485694347522678
BOOKKEEPER,1,0.5127265322744858,0.049642573471008734,0.07062264939406603,IBk,Over sampling,False,4581.0,70.0,180.0,205.0,0.9849494732315631,0.9571667363142499,0.9046209778520685,0.5391899805680521
BOOKKEEPER,1,0.5127265322744858,0.049642573471008734,0.07062264939406603,NB,Over sampling,False,6789.0,84.0,291.0,390.0,0.9877782627673505,0.9456748850814877,0.9127167200631472,0.5204306726487675
BOOKKEEPER,1,0.5127265322744858,0.049642573471008734,0.07062264939406603,RF,Smote,False,2387.0,54.0,71.0,6.0,0.9778779188857026,0.9974926870037609,0.9270271625574592,0.691286632637631
BOOKKEEPER,1,0.5127265322744858,0.049642573471008734,0.07062264939406603,IBk,Smote,False,4597.0,72.0,178.0,189.0,0.9845791390019276,0.9605098203092353,0.9059912244045132,0.5504358842457803
BOOKKEEPER,1,0.5127265322744858,0.049642573471008734,0.07062264939406603,NB,Smote,False,6804.0,86.0,289.0,375.0,0.9875181422351234,0.9477643125783536,0.9123642104285647,0.5262439586613678
BOOKKEEPER,1,0.5127265322744858,0.049642573471008734,0.07062264939406603,RF,No sampling,True,2393.0,55.0,70.0,0.0,0.9775326797385621,1.0,0.78,0.7075246562902575
BOOKKEEPER,1,0.5127265322744858,0.049642573471008734,0.07062264939406603,IBk,No sampling,True,4786.0,110.0,140.0,0.0,0.9775326797385621,1.0,0.78,0.7075246562902575
BOOKKEEPER,1,0.5127265322744858,0.049642573471008734,0.07062264939406603,NB,No sampling,True,7179.0,165.0,210.0,0.0,0.9775326797385621,1.0,0.78,0.7075246562902575
BOOKKEEPER,1,0.5127265322744858,0.049642573471008734,0.07062264939406603,RF,Under sampling,True,2393.0,55.0,70.0,0.0,0.9775326797385621,1.0,0.78,0.7075246562902575
